,quadname,hydrodym,densities.submat,density_m,density_cm,sub
1,submat_P2,cyclo,1,21.06674327,2106674.327,1
2,submat_P2,cyclo,2,43.56985541,4356985.541,2
3,submat_P2,cyclo,3,46.44259312,4644259.312,3
4,submat_P2,cyclo,1,19.63037441,1963037.441,1
5,submat_P2,cyclo,2,44.04864503,4404864.503,2
6,submat_P2,cyclo,3,48.59714641,4859714.641,3
7,submat_P2,cyclo,1,18.43340036,1843340.036,1
8,submat_P2,cyclo,2,43.3304606,4333046.06,2
9,submat_P2,cyclo,3,49.79412046,4979412.046,3
10,submat_P2,cyclo,1,19.63037441,1963037.441,1
11,submat_P2,cyclo,2,47.40017236,4740017.236,2
12,submat_P2,cyclo,3,42.13348655,4213348.655,3
13,submat_P2,cyclo,1,21.06674327,2106674.327,1
14,submat_P2,cyclo,2,40.9365125,4093651.25,2
15,submat_P2,cyclo,3,50.7516997,5075169.97,3
16,submat_P2,flow,1,4.787896198,478789.6198,1
17,submat_P2,flow,2,31.3607201,3136072.01,2
18,submat_P2,flow,3,18.43340036,1843340.036,3
19,submat_P2,flow,1,5.506080628,550608.0628,1
20,submat_P2,flow,2,34.95164225,3495164.225,2
21,submat_P2,flow,3,18.43340036,1843340.036,3
22,submat_P2,flow,1,8.378818347,837881.8347,1
23,submat_P2,flow,2,33.7546682,3375466.82,2
24,submat_P2,flow,3,12.68792493,1268792.493,3
25,submat_P2,flow,1,5.506080628,550608.0628,1
26,submat_P2,flow,2,28.24858757,2824858.757,2
27,submat_P2,flow,3,15.56066264,1556066.264,3
28,submat_P2,flow,1,7.900028727,790002.8727,1
29,submat_P2,flow,2,28.24858757,2824858.757,2
30,submat_P2,flow,3,11.73034569,1173034.569,3
31,submat_P2,active,1,10.29397683,1029397.683,1
32,submat_P2,active,2,13.64550417,1364550.417,2
33,submat_P2,active,3,11.73034569,1173034.569,3
34,submat_P2,active,1,12.92731974,1292731.974,1
35,submat_P2,active,2,13.64550417,1364550.417,2
36,submat_P2,active,3,14.60308341,1460308.341,3
37,submat_P2,active,1,12.68792493,1268792.493,1
38,submat_P2,active,2,13.16671455,1316671.455,2
39,submat_P2,active,3,15.56066264,1556066.264,3
40,submat_P2,active,1,13.16671455,1316671.455,1
41,submat_P2,active,2,13.64550417,1364550.417,2
42,submat_P2,active,3,12.20913531,1220913.531,3
43,submat_P2,active,1,12.68792493,1268792.493,1
44,submat_P2,active,2,13.16671455,1316671.455,2
45,submat_P2,active,3,14.12429379,1412429.379,3
46,submat_P2,oscillating,1,11.49095088,1149095.088,1
47,submat_P2,oscillating,2,42.61227617,4261227.617,2
48,submat_P2,oscillating,3,65.59417792,6559417.792,3
49,submat_P2,oscillating,1,10.53337164,1053337.164,1
50,submat_P2,oscillating,2,44.04864503,4404864.503,2
51,submat_P2,oscillating,3,65.1153883,6511538.83,3
52,submat_P2,oscillating,1,9.575792397,957579.2397,1
53,submat_P2,oscillating,2,46.20319831,4620319.831,2
54,submat_P2,oscillating,3,63.91841425,6391841.425,3
55,submat_P2,oscillating,1,11.25155607,1125155.607,1
56,submat_P2,oscillating,2,47.40017236,4740017.236,2
57,submat_P2,oscillating,3,61.04567653,6104567.653,3
58,submat_P2,oscillating,1,9.336397587,933639.7587,1
59,submat_P2,oscillating,2,42.85167098,4285167.098,2
60,submat_P2,oscillating,3,67.5093364,6750933.64,3
61,submat_P1,cyclo,1,18.43340036,1843340.036,1
62,submat_P1,cyclo,2,43.56985541,4356985.541,2
63,submat_P1,cyclo,3,50.03351527,5003351.527,3
64,submat_P1,cyclo,1,19.15158479,1915158.479,1
65,submat_P1,cyclo,2,43.80925022,4380925.022,2
66,submat_P1,cyclo,3,47.16077755,4716077.755,3
67,submat_P1,cyclo,1,19.86976922,1986976.922,1
68,submat_P1,cyclo,2,40.45772288,4045772.288,2
69,submat_P1,cyclo,3,46.68198793,4668198.793,3
70,submat_P1,cyclo,1,21.30613808,2130613.808,1
71,submat_P1,cyclo,2,39.50014364,3950014.364,2
72,submat_P1,cyclo,3,47.16077755,4716077.755,3
73,submat_P1,cyclo,1,17.95461074,1795461.074,1
74,submat_P1,cyclo,2,42.61227617,4261227.617,2
75,submat_P1,cyclo,3,49.79412046,4979412.046,3
76,submat_P1,flow,1,13.64550417,1364550.417,1
77,submat_P1,flow,2,17.95461074,1795461.074,2
78,submat_P1,flow,3,18.91218998,1891218.998,3
79,submat_P1,flow,1,13.64550417,1364550.417,1
80,submat_P1,flow,2,18.91218998,1891218.998,2
81,submat_P1,flow,3,18.91218998,1891218.998,3
