,quadname,hydrodym,quadstrat,count,sub,density_m,density_cm
1,submat_V,flow,1,3,1,12,0.0012
2,submat_V,flow,1,4,2,16,0.0016
3,submat_V,flow,1,0,3,0,0
4,submat_V,flow,1,2,1,8,0.0008
5,submat_V,flow,1,0,2,0,0
6,submat_V,flow,1,0,3,0,0
7,submat_V,flow,1,6,1,24,0.0024
8,submat_V,flow,1,0,2,0,0
9,submat_V,flow,1,0,3,0,0
10,submat_V,flow,1,3,1,12,0.0012
11,submat_V,flow,1,0,2,0,0
12,submat_V,flow,1,0,3,0,0
13,submat_V,flow,1,6,1,24,0.0024
14,submat_V,flow,1,0,2,0,0
15,submat_V,flow,1,0,3,0,0
16,submat_V,flow,2,6,1,24,0.0024
17,submat_V,flow,2,19,2,76,0.0076
18,submat_V,flow,2,21,3,84,0.0084
19,submat_V,flow,2,7,1,28,0.0028
20,submat_V,flow,2,12,2,48,0.0048
21,submat_V,flow,2,29,3,116,0.0116
22,submat_V,flow,2,9,1,36,0.0036
23,submat_V,flow,2,21,2,84,0.0084
24,submat_V,flow,2,21,3,84,0.0084
25,submat_V,flow,2,14,1,56,0.0056
26,submat_V,flow,2,24,2,96,0.0096
27,submat_V,flow,2,19,3,76,0.0076
28,submat_V,flow,2,11,1,44,0.0044
29,submat_V,flow,2,22,2,88,0.0088
30,submat_V,flow,2,22,3,88,0.0088
31,submat_V,flow,3,4,1,16,0.0016
32,submat_V,flow,3,0,2,0,0
33,submat_V,flow,3,0,3,0,0
34,submat_V,flow,3,2,1,8,0.0008
35,submat_V,flow,3,0,2,0,0
36,submat_V,flow,3,0,3,0,0
37,submat_V,flow,3,1,1,4,0.0004
38,submat_V,flow,3,0,2,0,0
39,submat_V,flow,3,0,3,0,0
40,submat_V,flow,3,1,1,4,0.0004
41,submat_V,flow,3,0,2,0,0
42,submat_V,flow,3,0,3,0,0
43,submat_V,flow,3,3,1,12,0.0012
44,submat_V,flow,3,0,2,0,0
45,submat_V,flow,3,0,3,0,0
46,submat_V,flow,4,2,1,8,0.0008
47,submat_V,flow,4,1,2,4,0.0004
48,submat_V,flow,4,4,3,16,0.0016
49,submat_V,flow,4,6,1,24,0.0024
50,submat_V,flow,4,1,2,4,0.0004
51,submat_V,flow,4,3,3,12,0.0012
52,submat_V,flow,4,2,1,8,0.0008
53,submat_V,flow,4,1,2,4,0.0004
54,submat_V,flow,4,0,3,0,0
55,submat_V,flow,4,3,1,12,0.0012
56,submat_V,flow,4,4,2,16,0.0016
57,submat_V,flow,4,2,3,8,0.0008
58,submat_V,flow,4,6,1,24,0.0024
59,submat_V,flow,4,0,2,0,0
60,submat_V,flow,4,0,3,0,0
61,submat_V,oscillating,1,9,1,36,0.0036
62,submat_V,oscillating,1,3,2,12,0.0012
63,submat_V,oscillating,1,8,3,32,0.0032
64,submat_V,oscillating,1,3,1,12,0.0012
65,submat_V,oscillating,1,8,2,32,0.0032
66,submat_V,oscillating,1,8,3,32,0.0032
67,submat_V,oscillating,1,5,1,20,0.002
68,submat_V,oscillating,1,13,2,52,0.0052
69,submat_V,oscillating,1,7,3,28,0.0028
70,submat_V,oscillating,1,8,1,32,0.0032
71,submat_V,oscillating,1,12,2,48,0.0048
72,submat_V,oscillating,1,9,3,36,0.0036
73,submat_V,oscillating,1,0,1,0,0
74,submat_V,oscillating,1,5,2,20,0.002
75,submat_V,oscillating,1,11,3,44,0.0044
76,submat_V,oscillating,2,4,1,16,0.0016
77,submat_V,oscillating,2,21,2,84,0.0084
78,submat_V,oscillating,2,13,3,52,0.0052
79,submat_V,oscillating,2,12,1,48,0.0048
80,submat_V,oscillating,2,20,2,80,0.008
81,submat_V,oscillating,2,11,3,44,0.0044
82,submat_V,oscillating,2,11,1,44,0.0044
83,submat_V,oscillating,2,12,2,48,0.0048
84,submat_V,oscillating,2,14,3,56,0.0056
85,submat_V,oscillating,2,3,1,12,0.0012
86,submat_V,oscillating,2,11,2,44,0.0044
87,submat_V,oscillating,2,16,3,64,0.0064
88,submat_V,oscillating,2,11,1,44,0.0044
89,submat_V,oscillating,2,15,2,60,0.006
90,submat_V,oscillating,2,15,3,60,0.006
91,submat_V,oscillating,3,7,1,28,0.0028
92,submat_V,oscillating,3,19,2,76,0.0076
93,submat_V,oscillating,3,18,3,72,0.0072
94,submat_V,oscillating,3,9,1,36,0.0036
95,submat_V,oscillating,3,8,2,32,0.0032
96,submat_V,oscillating,3,18,3,72,0.0072
97,submat_V,oscillating,3,5,1,20,0.002
98,submat_V,oscillating,3,13,2,52,0.0052
99,submat_V,oscillating,3,11,3,44,0.0044
100,submat_V,oscillating,3,3,1,12,0.0012
101,submat_V,oscillating,3,20,2,80,0.008
102,submat_V,oscillating,3,11,3,44,0.0044
103,submat_V,oscillating,3,5,1,20,0.002
104,submat_V,oscillating,3,3,2,12,0.0012
105,submat_V,oscillating,3,17,3,68,0.0068
106,submat_V,oscillating,4,4,1,16,0.0016
107,submat_V,oscillating,4,5,2,20,0.002
108,submat_V,oscillating,4,13,3,52,0.0052
109,submat_V,oscillating,4,8,1,32,0.0032
110,submat_V,oscillating,4,11,2,44,0.0044
111,submat_V,oscillating,4,13,3,52,0.0052
112,submat_V,oscillating,4,7,1,28,0.0028
113,submat_V,oscillating,4,5,2,20,0.002
114,submat_V,oscillating,4,5,3,20,0.002
115,submat_V,oscillating,4,8,1,32,0.0032
116,submat_V,oscillating,4,16,2,64,0.0064
117,submat_V,oscillating,4,10,3,40,0.004
118,submat_V,oscillating,4,7,1,28,0.0028
119,submat_V,oscillating,4,5,2,20,0.002
120,submat_V,oscillating,4,11,3,44,0.0044
