,quadname,hydrodym,densities.submat,density_m,density_cm,sub
256,submat_V,flow,1,18.31637831,1831637.831,1
257,submat_V,flow,2,25.74193708,2574193.708,2
258,submat_V,flow,3,26.48449296,2648449.296,3
259,submat_V,flow,1,23.51426945,2351426.945,1
260,submat_V,flow,2,23.51426945,2351426.945,2
261,submat_V,flow,3,23.76178807,2376178.807,3
262,submat_V,flow,1,22.27667632,2227667.632,1
263,submat_V,flow,2,25.74193708,2574193.708,2
264,submat_V,flow,3,25.74193708,2574193.708,3
265,submat_V,flow,1,21.03908319,2103908.319,1
266,submat_V,flow,2,23.26675082,2326675.082,2
267,submat_V,flow,3,25.24689983,2524689.983,3
268,submat_V,flow,1,22.77171357,2277171.357,1
269,submat_V,flow,2,27.72208609,2772208.609,2
270,submat_V,flow,3,24.75186258,2475186.258,3
286,submat_V,oscillating,1,19.30645281,1930645.281,1
287,submat_V,oscillating,2,47.52357615,4752357.615,2
288,submat_V,oscillating,3,55.44417217,5544417.217,3
289,submat_V,oscillating,1,24.9993812,2499938.12,1
290,submat_V,oscillating,2,40.84057325,4084057.325,2
291,submat_V,oscillating,3,57.91935843,5791935.843,3
292,submat_V,oscillating,1,19.55397144,1955397.144,1
293,submat_V,oscillating,2,43.31575951,4331575.951,2
294,submat_V,oscillating,3,59.65198881,5965198.881,3
295,submat_V,oscillating,1,19.30645281,1930645.281,1
296,submat_V,oscillating,2,50.74131828,5074131.828,2
297,submat_V,oscillating,3,53.46402317,5346402.317,3
298,submat_V,oscillating,1,20.79156457,2079156.457,1
299,submat_V,oscillating,2,43.81079676,4381079.676,2
300,submat_V,oscillating,3,57.91935843,5791935.843,3
