,quadname,hydrodym,densities.submat,density,sub,counts,average
4,submat_VwTR,flow,4,99.17355372,4,6,1.20000186
5,submat_VwTR,flow,5,0,5,0,0
6,submat_VwTR,flow,6,0,6,0,0
10,submat_VwTR,flow,4,66.11570248,4,4,0.80000124
11,submat_VwTR,flow,5,0,5,0,0
12,submat_VwTR,flow,6,0,6,0,0
16,submat_VwTR,flow,4,115.7024793,4,7,1.40000217
17,submat_VwTR,flow,5,0,5,0,0
18,submat_VwTR,flow,6,0,6,0,0
22,submat_VwTR,flow,4,49.58677686,4,3,0.60000093
23,submat_VwTR,flow,5,0,5,0,0
24,submat_VwTR,flow,6,0,6,0,0
28,submat_VwTR,flow,4,132.231405,4,8,1.600002481
29,submat_VwTR,flow,5,0,5,0,0
30,submat_VwTR,flow,6,0,6,0,0
34,submat_VwTR,oscillating,4,1090.909091,4,66,13.20002046
35,submat_VwTR,oscillating,5,694.214876,5,42,8.40001302
36,submat_VwTR,oscillating,6,595.0413223,6,36,7.20001116
40,submat_VwTR,oscillating,4,1008.264463,4,61,12.20001891
41,submat_VwTR,oscillating,5,644.6280992,5,39,7.80001209
42,submat_VwTR,oscillating,6,628.0991736,6,38,7.600011781
46,submat_VwTR,oscillating,4,1074.380165,4,65,13.00002015
47,submat_VwTR,oscillating,5,611.5702479,5,37,7.40001147
48,submat_VwTR,oscillating,6,661.1570248,6,40,8.0000124
52,submat_VwTR,oscillating,4,1107.438017,4,67,13.40002078
53,submat_VwTR,oscillating,5,644.6280992,5,39,7.80001209
54,submat_VwTR,oscillating,6,561.9834711,6,34,6.80001054
58,submat_VwTR,oscillating,4,1206.61157,4,73,14.60002263
59,submat_VwTR,oscillating,5,694.214876,5,42,8.40001302
60,submat_VwTR,oscillating,6,644.6280992,6,39,7.80001209
64,submat_VwTL,flow,4,413.2231405,4,25,5.00000775
65,submat_VwTL,flow,5,363.6363636,5,22,4.40000682
66,submat_VwTL,flow,6,347.107438,6,21,4.20000651
70,submat_VwTL,flow,4,479.338843,4,29,5.80000899
71,submat_VwTL,flow,5,347.107438,5,21,4.20000651
72,submat_VwTL,flow,6,280.9917355,6,17,3.40000527
76,submat_VwTL,flow,4,611.5702479,4,37,7.40001147
77,submat_VwTL,flow,5,396.6942149,5,24,4.80000744
78,submat_VwTL,flow,6,231.4049587,6,14,2.80000434
82,submat_VwTL,flow,4,429.7520661,4,26,5.20000806
83,submat_VwTL,flow,5,380.1652893,5,23,4.600007131
84,submat_VwTL,flow,6,297.5206612,6,18,3.600005581
88,submat_VwTL,flow,4,413.2231405,4,25,5.00000775
89,submat_VwTL,flow,5,561.9834711,5,34,6.80001054
90,submat_VwTL,flow,6,198.3471074,6,12,2.40000372
94,submat_VwTL,oscillating,4,1173.553719,4,71,14.20002201
95,submat_VwTL,oscillating,5,561.9834711,5,34,6.80001054
96,submat_VwTL,oscillating,6,479.338843,6,29,5.80000899
100,submat_VwTL,oscillating,4,1057.85124,4,64,12.80001984
101,submat_VwTL,oscillating,5,694.214876,5,42,8.40001302
102,submat_VwTL,oscillating,6,528.9256198,6,32,6.40000992
