,quadname,hydrodym,densities.submat,densities.Freq,counts,sub,rep
1,Real_Mosaic,flow,0,0,0,1,1
2,Real_Mosaic,flow,1,0,0,2,1
3,Real_Mosaic,flow,2,34.03186813,124,3,1
4,Real_Mosaic,flow,3,8.35584878,148,4,1
5,Real_Mosaic,flow,4,70.6122439,207,5,1
6,Real_Mosaic,flow,0,0,0,1,2
7,Real_Mosaic,flow,1,0,0,2,2
8,Real_Mosaic,flow,2,35.40412088,129,3,2
9,Real_Mosaic,flow,3,8.130015029,144,4,2
10,Real_Mosaic,flow,4,70.6122439,207,5,2
11,Real_Mosaic,flow,0,0,0,1,3
12,Real_Mosaic,flow,1,0,0,2,3
13,Real_Mosaic,flow,2,35.67857143,130,3,3
14,Real_Mosaic,flow,3,7.904181278,140,4,3
15,Real_Mosaic,flow,4,72.65897561,213,5,3
16,Real_Mosaic,flow,0,0,0,1,4
17,Real_Mosaic,flow,1,0,0,2,4
18,Real_Mosaic,flow,2,29.09175824,106,3,4
19,Real_Mosaic,flow,3,8.35584878,148,4,4
20,Real_Mosaic,flow,4,77.09356098,226,5,4
21,Real_Mosaic,flow,0,0,0,1,5
22,Real_Mosaic,flow,1,0,0,2,5
23,Real_Mosaic,flow,2,33.75741758,123,3,5
24,Real_Mosaic,flow,3,7.396055339,131,4,5
25,Real_Mosaic,flow,4,78.11692683,229,5,5
